Codice Chiesa;Codice Pavimenti;Quadrante;Data;Quota;Cappela;Primario Stile;# Passi alla Cappella;Altare 1;# Passi alla Altare 1;Quota di Altare 1;Altare 2;# Passi alla Altare 2;Quota di Altare 2;Nota;Entrata?;Contenere Banco?;Contenere Reperti?;Numero di Reperti;MAPINFO_ID
SERV;SERV_D;D;03/07/2002;1,58;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;285
SILV;SILV_A;A;;2,12;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;527
SILV;SILV_B;B;;2,16;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;528
SILV;SILV_C;C;;2,10;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;529
SILV;SILV_D;D;;2,09;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;530
SILV;SILV_E;E;;2,13;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;531
SILV;SILV_F;F;;2,05;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;532
SILV;SILV_G;G;;2,08;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;533
SILV;SILV_H;H;;2,09;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;534
SILV;SILV_I;I;;2,02;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;535
SILV;SILV_J;J;;2,78;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;536
SIMG;SIMG_A;A;29/06/2004;1,01;FALSO;;0,00;VERO;3;1,48;FALSO;0;0,00;contains small side alter;FALSO;FALSO;VERO;;1299
SIMG;SIMG_B;B;29/06/2004;1,03;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;small carpet in entryway;VERO;FALSO;VERO;;1300
SIMG;SIMG_C;C;29/06/2004;1,01;FALSO;;0,00;VERO;2;1,29;FALSO;0;0,00;contains small side alter;FALSO;FALSO;VERO;;1301
SIMG;SIMG_D;D;29/06/2004;1,03;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;VERO;;1302
SIMG;SIMG_E;E;29/06/2004;1,08;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;VERO;;1303
SIMG;SIMG_F;F;29/06/2004;1,02;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;1304
SIMG;SIMG_G;G;29/06/2004;1,05;FALSO;;0,00;VERO;2;1,38;FALSO;0;0,00;contains small side alter;FALSO;VERO;VERO;;1305
SIMG;SIMG_H;H;29/06/2004;1,08;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;portion covered by carpeted wooden platform;FALSO;VERO;VERO;;1306
SIMG;SIMG_I;I;29/06/2004;1,09;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;VERO;;1307
SIMG;SIMG_J;J;29/06/2004;1,48;VERO;;3,00;VERO;2;1,78;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;1308
SIMG;SIMG_K;K;29/06/2004;1,37;VERO;;0,00;VERO;3;1,82;FALSO;0;0,00;main alter;FALSO;FALSO;VERO;;1309
SIMG;SIMG_L;L;29/06/2004;1,34;FALSO;;2,00;VERO;2;1,64;FALSO;0;0,00;side chapel;FALSO;FALSO;VERO;;1310
SIMG;SIMG_M;M;29/06/2004;1,29;VERO;;2,00;VERO;2;1,59;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;1311
SIMG;SIMG_N;N;29/06/2004;1,34;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;side room, 2 steps;FALSO;FALSO;FALSO;;1312
SLIO;SLIO_A;A;08/07/2003;1,67;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;537
SLIO;SLIO_B;B;08/07/2003;1,70;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;538
SLIO;SLIO_C;C;08/07/2003;1,72;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;539
SLIO;SLIO_D;D;08/07/2003;1,65;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;540
SLIO;SLIO_E;E;08/07/2003;1,70;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;541
SLIO;SLIO_F;F;08/07/2003;1,72;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;542
SLIO;SLIO_G;G;08/07/2003;1,66;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;543
SLIO;SLIO_H;H;08/07/2003;1,70;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;544
SLIO;SLIO_I;I;08/07/2003;1,70;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;545
SLIO;SLIO_J;J;08/07/2003;1,76;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;546
SLIO;SLIO_K;K;08/07/2003;2,05;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;547
SLIO;SLIO_L;L;08/07/2003;1,81;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;548
SOFI;SOFI_A;A;27/06/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;549
SOFI;SOFI_B;B;27/06/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;550
