Codice Chiesa;Età;Chitata da
MATE;1502;Venice and its Lagoon
MATE;1540;Venice and its Lagoon
MAUR;1105;G. Tassini
MAUR;1590;Venice and its Lagoon
MAUR;1806;Venice and its Lagoon
MEND;650;G. Tassini
MEND;650;The Churches of Venice
MEND;650;Venice and its Lagoon
MEND;750;Chiese di Venezia
MEND;1050;Chiese di Venezia
MEND;1150;Venice and its Lagoon
MEND;1839;Chiese di Venezia
MENI;1557;G. Tassini
MENI;1571;Venice and its Lagoon
MENI;1727;Venice and its Lagoon
MIRA;1487;G. Tassini
MIRA;1489;Venice and its Lagoon
MOIS;797;G. Tassini
MOIS;1632;Chiese di Venezia
MOIS;1632;Venice and its Lagoon
NOME;1834;Venice and its Lagoon
OGNI;1472;G. Tassini
OGNI;1550;Venice and its Lagoon
ORIO;950;G. Tassini
ORIO;1225;Chiese di Venezia
ORIO;1225;The Churches of Venice
ORIO;1350;Venice and its Lagoon
ORIO;1550;Chiese di Venezia
ORTO;1377;G. Tassini
ORTO;1450;Venice and its Lagoon
ORTO;1503;Chiese di Venezia
OSPE;1662;Venice and its Lagoon
PANT;1009;G. Tassini
PANT;1050;The Churches of Venice
PANT;1250;Venice and its Lagoon
PANT;1668;The Churches of Venice
PANT;1686;Venice and its Lagoon
PAUL;1150;Venice and its Lagoon
PAUL;1291;G. Tassini
PAUL;1750;Venice and its Lagoon
PENT;1763;G. Tassini
PENT;1763;Venice and its Lagoon
PENT;1845;Venice and its Lagoon
PIET;650;Chiese di Venezia
PIET;650;G. Tassini
PIET;650;Venice and its Lagoon
PIET;1511;Chiese di Venezia
PIET;1596;Venice and its Lagoon
PIVI;1348;G. Tassini
PIVI;1450;Venice and its Lagoon
PIVI;1760;Venice and its Lagoon
POLO;837;G. Tassini
POLO;850;Venice and its Lagoon
POLO;1804;Venice and its Lagoon
RAFF;416;G. Tassini
RAFF;650;Venice and its Lagoon
RAFF;1618;Venice and its Lagoon
REDE;1447;M. Bortoletto
RINA;1274;G. Tassini
RINA;1274;Venice and its Lagoon
RINA;1807;Venice and its Lagoon
ROCC;1489;G. Tassini
ROCC;1489;Venice and its Lagoon
ROCC;1750;Venice and its Lagoon
ROMI;1693;G. Tassini
ROMI;1693;Venice and its Lagoon
SALU;1256;G. Tassini
SALU;1681;Venice and its Lagoon
SALV;1141;G. Tassini
SALV;1150;Chiese di Venezia
SALV;1150;The Churches of Venice
SALV;1507;Chiese di Venezia
SALV;1507;The Churches of Venice
SALV;1534;Venice and its Lagoon
SAMU;1008;M. Bortoletto
SAMU;1050;Chiese di Venezia
